District_matched,Crop_Year,Season,Area,Production,Yield
Adilabad,1997,Kharif     ,30600.0,29100.0,0.95
Adilabad,1998,Kharif     ,66400.0,152300.0,2.29
Adilabad,1999,Kharif     ,66388.0,162451.0,2.45
Adilabad,2000,Kharif     ,70645.0,146235.0,2.07
Adilabad,2001,Kharif     ,67358.0,150343.0,2.23
Adilabad,2002,Kharif     ,71657.0,110710.0,1.54
Adilabad,2003,Kharif     ,74851.0,184732.0,2.47
Adilabad,2004,Kharif     ,35637.0,54133.0,1.52
Adilabad,2005,Kharif     ,69284.0,178198.0,2.57
Adilabad,2006,Kharif     ,64743.0,155318.0,2.4
Adilabad,2007,Kharif     ,40000.0,96000.0,2.4
Adilabad,2008,Kharif     ,54506.0,133049.0,2.44
Adilabad,2009,Kharif     ,37878.0,75264.0,1.99
Adilabad,2010,Kharif     ,62903.0,175263.0,2.79
Adilabad,2011,Kharif     ,60681.0,151310.0,2.49
Adilabad,2012,Kharif     ,56000.0,145000.0,2.59
Adilabad,2013,Kharif     ,65502.0,175303.0,2.68
Adilabad,2014,Kharif     ,36084.0,81003.0,2.24
Adilabad,2015,Kharif     ,42575.0,108571.0,2.55
Adilabad,2016,Kharif     ,1230.0,3174.0,2.58
Adilabad,2017,Kharif     ,556.0,1334.0,2.4
Adilabad,2018,Kharif     ,385.0,1222.0,3.17
Adilabad,2019,Kharif     ,508.0,1846.0,3.63
Agar Malwa,2013,Kharif     ,2.0,1.0,0.5
Agar Malwa,2018,Kharif     ,286.0,286.0,1.0
Agar Malwa,2019,Summer     ,98.0,0.0,0.0
Agra,1997,Kharif     ,935.0,2073.0,2.22
Agra,1998,Kharif     ,1536.0,3478.0,2.26
Agra,1999,Kharif     ,2142.0,3781.0,1.77
Agra,2000,Kharif     ,1322.0,2502.0,1.89
Agra,2001,Kharif     ,1318.0,2476.0,1.88
Agra,2002,Kharif     ,1134.0,1900.0,1.68
Agra,2003,Kharif     ,824.0,1436.0,1.74
Agra,2004,Kharif     ,1097.0,2575.0,2.35
Agra,2005,Kharif     ,1021.0,2314.0,2.27
Agra,2006,Kharif     ,1086.0,2056.0,1.89
Agra,2007,Kharif     ,1395.0,2763.0,1.98
Agra,2008,Kharif     ,4176.0,9183.0,2.2
Agra,2009,Kharif     ,4816.0,8467.0,1.76
Agra,2010,Kharif     ,4342.0,9413.0,2.17
Agra,2011,Kharif     ,6724.0,16803.0,2.5
Agra,2012,Kharif     ,3556.0,8975.0,2.52
Agra,2013,Kharif     ,8691.0,22475.0,2.59
Agra,2014,Kharif     ,10164.0,24231.0,2.38
Agra,2015,Kharif     ,9401.0,22553.0,2.4
Agra,2016,Kharif     ,4872.0,13281.0,2.73
Agra,2017,Kharif     ,5252.0,13109.0,2.5
Agra,2018,Kharif     ,5432.0,13374.0,2.46
Agra,2019,Kharif     ,5296.0,13642.0,2.58
Ahmedabad,1997,Whole Year ,75300.0,114500.0,1.52
Ahmedabad,1998,Kharif     ,52200.0,72600.0,1.39
Ahmedabad,1999,Kharif     ,75100.0,78900.0,1.05
Ahmedabad,2000,Kharif     ,84100.0,37500.0,0.45
Ahmedabad,2001,Kharif     ,82000.0,144300.0,1.76
Ahmedabad,2002,Kharif     ,47500.0,39300.0,0.83
Ahmedabad,2003,Kharif     ,83200.0,197600.0,2.38
Ahmedabad,2004,Kharif     ,78900.0,176000.0,2.23
Ahmedabad,2005,Kharif     ,94800.0,235500.0,2.48
Ahmedabad,2006,Kharif     ,97300.0,178800.0,1.84
Ahmedabad,2007,Kharif     ,105200.0,214100.0,2.04
Ahmedabad,2008,Kharif     ,96100.0,175500.0,1.83
Ahmedabad,2009,Kharif     ,83700.0,209200.0,2.5
Ahmedabad,2010,Kharif     ,103500.0,273600.0,2.64
Ahmedabad,2011,Kharif     ,119000.0,311000.0,2.61
Ahmedabad,2012,Kharif     ,107800.0,212600.0,1.97
Ahmedabad,2013,Kharif     ,112760.0,263994.0,2.34
Ahmedabad,2014,Kharif     ,116904.0,305692.0,2.61
Ahmedabad,2015,Kharif     ,113930.0,287425.0,2.52
Ahmedabad,2016,Kharif     ,119870.0,311998.0,2.6
Ahmedabad,2017,Kharif     ,117955.0,253359.0,2.15
Ahmedabad,2018,Kharif     ,113463.0,149704.0,1.32
Ahmedabad,2019,Kharif     ,133051.0,271922.0,2.04
Ahmednagar,1997,Kharif     ,5900.0,7200.0,1.22
Ahmednagar,1998,Kharif     ,5600.0,7400.0,1.32
Ahmednagar,1999,Kharif     ,5700.0,8000.0,1.4
Ahmednagar,2000,Kharif     ,5500.0,3800.0,0.69
Ahmednagar,2001,Kharif     ,7300.0,4100.0,0.56
Ahmednagar,2002,Kharif     ,7400.0,1700.0,0.23
Ahmednagar,2003,Kharif     ,7600.0,5900.0,0.78
