Dist Code,Year,State Code,State Name,Dist Name,NITROGEN CONSUMPTION (tons),NITROGEN SHARE IN NPK (Percent),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),TOTAL CONSUMPTION (tons)
1,1988,14,Chhattisgarh,Durg,18661,55.37,11984,35.56,3056,9.07,33701
1,1999,14,Chhattisgarh,Durg,35428,62.08,15822,27.73,5816,10.19,57066
1,2000,14,Chhattisgarh,Durg,35349,59.45,18393,30.93,5722,9.62,59464
1,2001,14,Chhattisgarh,Durg,39695,64.02,17621,28.42,4692,7.57,62007
1,2002,14,Chhattisgarh,Durg,33215,59.23,16959,30.24,5909,10.54,56082
1,2003,14,Chhattisgarh,Durg,32666,61.75,14731,27.85,5504,10.4,52900
1,2004,14,Chhattisgarh,Durg,48957,60.42,23367,28.84,8698,10.74,81022
1,2005,14,Chhattisgarh,Durg,52889,60.61,23912,27.4,10466,11.99,87267
1,2006,14,Chhattisgarh,Durg,63979,59.71,30775,28.72,12392,11.57,107146
1,2007,14,Chhattisgarh,Durg,60332,60.73,27558,27.74,11458,11.53,99347
1,2008,14,Chhattisgarh,Durg,52406,50.46,33856,32.6,17602,16.95,103864
1,2009,14,Chhattisgarh,Durg,72854,55.13,41198,31.18,18091,13.69,132143
1,2010,14,Chhattisgarh,Durg,77428,54.47,45186,31.79,19542,13.75,142156
1,2011,14,Chhattisgarh,Durg,72843,53.56,45815,33.69,17339,12.75,135997
1,2012,14,Chhattisgarh,Durg,93725,58.43,50474,31.47,16214,10.11,160413
1,2013,14,Chhattisgarh,Durg,80745,58.05,42228,30.36,16125,11.59,139098
1,2014,14,Chhattisgarh,Durg,92459,56.7,54358,33.33,16254,9.97,163071
1,2015,14,Chhattisgarh,Durg,109099,57.14,62410,32.69,19424,10.17,190933
1,2016,14,Chhattisgarh,Durg,103328,54.12,66895,35.04,20714,10.85,190937
1,2017,14,Chhattisgarh,Durg,91447,56.47,53486,33.03,16993,10.49,161926
2,1988,14,Chhattisgarh,Bastar,2196,62.78,968,27.67,334,9.55,3498
2,1999,14,Chhattisgarh,Bastar,5861,54.33,3470,32.17,1457,13.51,10788
2,2000,14,Chhattisgarh,Bastar,7060,67.35,2551,24.34,871,8.31,10482
2,2001,14,Chhattisgarh,Bastar,8975,63.91,3729,26.55,1339,9.53,14043
2,2002,14,Chhattisgarh,Bastar,6298,58.98,3230,30.25,1151,10.78,10679
2,2003,14,Chhattisgarh,Bastar,6474,59.59,3114,28.66,1276,11.75,10864
2,2004,14,Chhattisgarh,Bastar,9315,59.18,4360,27.7,2064,13.11,15739
2,2005,14,Chhattisgarh,Bastar,10661,61.11,4827,27.67,1959,11.23,17447
2,2006,14,Chhattisgarh,Bastar,12218,58.53,6136,29.4,2520,12.07,20874
2,2007,14,Chhattisgarh,Bastar,9710,70.9,3270,23.88,715,5.22,13695
2,2008,14,Chhattisgarh,Bastar,11578,56.18,5451,26.45,3579,17.37,20608
2,2009,14,Chhattisgarh,Bastar,17440,58.67,9076,30.53,3212,10.8,29728
